Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),CO (mg/m³)
2018-01-27 00:00:00,62.14,,4.07,18.06,
2018-01-28 00:00:00,46.41,,2.52,12.22,
2018-01-29 00:00:00,42.15,,2.74,13.41,
2018-01-30 00:00:00,65.31,,3.65,16.98,
2018-01-31 00:00:00,59.1,,4.02,18.13,
2018-02-01 00:00:00,50.32,,5.7,21.39,
2018-02-02 00:00:00,39.3,,4.3,16.91,
2018-02-03 00:00:00,33.78,,3.58,14.75,
2018-02-04 00:00:00,4.12,,0.61,1.47,
2018-02-05 00:00:00,41.19,,3.19,17.37,
2018-02-06 00:00:00,39.99,,2.8,18.74,
2018-02-07 00:00:00,38.96,,3.31,26.33,
2018-02-08 00:00:00,53.68,,5.53,36.21,
2018-02-09 00:00:00,49.93,,4.05,36.19,
2018-02-10 00:00:00,40.22,,6.19,34.11,
2018-02-11 00:00:00,35.7,,0.04,0.27,9.54
2018-02-12 00:00:00,44.52,,,,1.01
2018-02-13 00:00:00,40.67,,,,1.02
2018-02-14 00:00:00,41.31,,,,0.95
2018-02-15 00:00:00,42.99,,,,1.02
2018-02-16 00:00:00,44.48,,,,0.99
2018-02-17 00:00:00,47.93,,,,1.02
2018-02-18 00:00:00,36.14,,,,0.89
2018-02-19 00:00:00,39.63,,,,0.98
2018-02-20 00:00:00,38.0,,,,0.97
2018-02-21 00:00:00,49.34,,,,0.89
2018-02-22 00:00:00,53.82,,,,0.92
2018-02-23 00:00:00,54.36,,,,0.92
2018-02-24 00:00:00,39.53,,,,0.91
2018-02-25 00:00:00,29.93,,,,0.91
2018-02-26 00:00:00,33.53,,,,0.96
2018-02-27 00:00:00,33.29,,,,0.87
2018-02-28 00:00:00,44.56,,,,0.89
2018-03-01 00:00:00,44.12,,,,0.91
2018-03-02 00:00:00,24.18,,,,0.87
2018-03-03 00:00:00,,,,,0.9
2018-03-04 00:00:00,,,,,0.83
2018-03-05 00:00:00,,,,,0.86
2018-03-06 00:00:00,,,,,0.84
2018-03-07 00:00:00,,,,,0.94
2018-03-08 00:00:00,,,,,0.96
2018-03-09 00:00:00,,,,,0.99
2018-03-10 00:00:00,,,,,0.9
2018-03-11 00:00:00,,,,,
2018-03-12 00:00:00,,,,,0.74
2018-03-13 00:00:00,,,,,0.81
2018-03-14 00:00:00,,,,,0.76
2018-03-15 00:00:00,,,,,0.82
2018-03-16 00:00:00,,,,,0.77
2018-03-17 00:00:00,,,,,0.84
2018-03-18 00:00:00,,,,,0.79
2018-03-19 00:00:00,,,,,0.81
2018-03-20 00:00:00,,,,,0.81
2018-03-21 00:00:00,,,,,0.82
2018-03-22 00:00:00,,,,,0.81
2018-03-23 00:00:00,,,,,0.77
2018-03-24 00:00:00,,,,,0.84
2018-03-25 00:00:00,,,,,
2018-03-26 00:00:00,,,,,0.85
2018-03-27 00:00:00,,,,,0.91
2018-03-28 00:00:00,,,,,0.84
2018-03-29 00:00:00,,,,,0.84
2018-03-30 00:00:00,,,,,0.78
2018-03-31 00:00:00,,,,,0.85
2018-04-01 00:00:00,,,,,0.76
2018-04-02 00:00:00,,,,,0.8
2018-04-03 00:00:00,,,,,0.87
2018-04-04 00:00:00,,,,,0.77
2018-04-05 00:00:00,,,,,0.8
2018-04-06 00:00:00,,,,,0.77
2018-04-07 00:00:00,,,,,0.76
2018-04-08 00:00:00,,,,,0.71
2018-04-09 00:00:00,,,,,0.73
2018-04-10 00:00:00,,,,,0.77
2018-04-11 00:00:00,,,,,0.78
2018-04-12 00:00:00,,,,,0.75
2018-04-13 00:00:00,,,,,0.74
2018-04-14 00:00:00,,,,,0.41
2018-04-15 00:00:00,,,,,0.37
2018-04-16 00:00:00,,,,,0.5
2018-04-17 00:00:00,,,,,0.59
2018-04-18 00:00:00,,,,,0.7
2018-04-19 00:00:00,,,,,0.82
2018-04-20 00:00:00,,,,,0.74
2018-04-21 00:00:00,,,,,1.0
2018-04-22 00:00:00,,,,,0.71
2018-04-23 00:00:00,,,,,0.78
2018-04-24 00:00:00,,,,,0.87
2018-04-25 00:00:00,,,,,1.01
2018-04-26 00:00:00,,,,,0.78
2018-04-27 00:00:00,,,,,0.78
2018-04-28 00:00:00,,,,,0.83
2018-04-29 00:00:00,,,,,0.77
2018-04-30 00:00:00,,,,,0.75
2018-05-01 00:00:00,,,,,0.73
2018-05-02 00:00:00,,,,,0.74
2018-05-03 00:00:00,,,,,0.64
2018-05-04 00:00:00,,,,,0.94
2018-05-05 00:00:00,,,,,0.86
2018-05-06 00:00:00,,,,,0.71
2018-05-07 00:00:00,,,,,0.81
2018-05-08 00:00:00,,,,,0.72
2018-05-09 00:00:00,,,,,0.7
2018-05-10 00:00:00,,,,,0.72
2018-05-11 00:00:00,,,,,0.82
2018-05-12 00:00:00,,,,,0.77
2018-05-13 00:00:00,,,,,0.78
2018-05-14 00:00:00,,,,,0.75
2018-05-15 00:00:00,,,,,0.78
2018-05-16 00:00:00,,,,,0.9
2018-05-17 00:00:00,,,,,0.93
2018-05-18 00:00:00,,,,,1.07
2018-05-19 00:00:00,,,,,1.11
2018-05-20 00:00:00,,,,,0.83
2018-05-21 00:00:00,,,,,0.81
2018-05-22 00:00:00,,,,,0.91
2018-05-23 00:00:00,,,,,0.97
2018-05-24 00:00:00,,,,,0.93
2018-05-25 00:00:00,,,,,0.93
2018-05-26 00:00:00,,,,,1.11
2018-05-27 00:00:00,,,,,0.84
2018-05-28 00:00:00,,,,,0.92
2018-05-29 00:00:00,,,,,1.36
2018-05-30 00:00:00,13.24,,,,0.75
2018-05-31 00:00:00,25.05,,,,0.72
2018-06-01 00:00:00,28.94,,,,0.76
2018-06-02 00:00:00,29.55,,,,0.95
2018-06-03 00:00:00,30.67,,,,0.67
2018-06-04 00:00:00,13.48,,,,0.71
2018-06-05 00:00:00,23.82,,,,0.74
2018-06-06 00:00:00,20.04,,,,1.08
2018-06-07 00:00:00,19.8,,,,1.06
2018-06-08 00:00:00,10.45,,1.38,2.85,0.62
2018-06-09 00:00:00,14.52,,,,0.61
2018-06-10 00:00:00,12.74,,,9.38,0.6
2018-06-11 00:00:00,19.95,,,,0.6
2018-06-12 00:00:00,25.13,,,,0.63
2018-06-13 00:00:00,25.75,,,,0.69
2018-06-14 00:00:00,29.97,,,,0.82
2018-06-15 00:00:00,119.49,,4.55,18.27,0.67
2018-06-16 00:00:00,15.66,,4.43,8.51,0.68
2018-06-17 00:00:00,17.34,,5.14,8.66,0.56
2018-06-18 00:00:00,17.18,,3.78,6.07,0.71
2018-06-19 00:00:00,21.92,,3.57,4.36,0.47
2018-06-20 00:00:00,12.22,,3.63,4.58,0.52
2018-06-21 00:00:00,21.18,,3.85,5.43,0.56
2018-06-22 00:00:00,26.81,,4.18,6.0,0.56
2018-06-23 00:00:00,35.84,,4.06,6.11,0.63
2018-06-24 00:00:00,20.72,,4.33,6.95,0.54
2018-06-25 00:00:00,30.41,,3.75,7.98,0.61
2018-06-26 00:00:00,30.48,,3.55,7.44,0.61
2018-06-27 00:00:00,,,3.55,8.23,0.62
2018-06-28 00:00:00,7.02,,3.65,8.98,0.63
2018-06-29 00:00:00,9.34,,3.65,8.74,0.62
2018-06-30 00:00:00,14.32,,4.32,12.59,0.71
2018-07-01 00:00:00,14.53,,4.16,10.59,0.65
2018-07-02 00:00:00,10.57,,3.95,10.02,0.62
2018-07-03 00:00:00,18.16,,4.16,11.45,0.68
2018-07-04 00:00:00,21.43,,3.78,8.99,0.65
2018-07-05 00:00:00,29.98,,3.92,8.86,0.72
2018-07-06 00:00:00,40.9,,3.93,7.36,0.92
2018-07-07 00:00:00,20.93,,3.68,6.41,0.94
2018-07-08 00:00:00,21.66,,3.47,4.89,0.92
2018-07-09 00:00:00,22.88,,3.5,5.2,0.91
2018-07-10 00:00:00,476.84,,3.61,5.58,0.96
2018-07-11 00:00:00,32.46,,3.6,5.13,0.88
2018-07-12 00:00:00,24.9,,3.36,3.96,0.86
2018-07-13 00:00:00,20.4,,3.48,4.73,0.93
2018-07-14 00:00:00,22.0,,3.38,4.03,0.77
2018-07-15 00:00:00,22.58,,3.33,2.91,0.78
2018-07-16 00:00:00,22.12,,3.72,4.68,0.85
2018-07-17 00:00:00,19.8,,3.62,4.79,0.81
2018-07-18 00:00:00,20.72,,3.45,4.79,0.85
2018-07-19 00:00:00,34.77,,3.13,9.22,0.93
2018-07-20 00:00:00,20.37,,2.51,13.31,0.9
2018-07-21 00:00:00,26.34,,2.64,14.09,0.81
2018-07-22 00:00:00,28.29,,2.53,12.97,0.84
2018-07-23 00:00:00,28.54,,2.51,15.15,0.87
2018-07-24 00:00:00,24.5,,2.52,17.44,0.7
2018-07-25 00:00:00,20.81,,2.62,16.43,0.73
2018-07-26 00:00:00,29.44,,2.8,17.53,0.68
2018-07-27 00:00:00,31.15,,3.51,17.95,0.59
2018-07-28 00:00:00,33.4,,4.05,20.2,0.68
2018-07-29 00:00:00,22.96,,3.44,17.2,0.73
2018-07-30 00:00:00,28.62,,3.98,19.74,0.69
2018-07-31 00:00:00,31.04,,3.94,19.23,0.7
2018-08-01 00:00:00,28.63,,4.6,18.41,0.67
2018-08-02 00:00:00,28.79,,4.49,12.74,0.81
2018-08-03 00:00:00,29.45,,4.09,17.34,0.63
2018-08-04 00:00:00,30.16,,4.65,19.22,0.66
2018-08-05 00:00:00,20.98,,4.76,18.37,0.56
2018-08-06 00:00:00,48.18,,4.58,18.64,0.63
2018-08-07 00:00:00,17.06,,4.56,19.24,0.66
2018-08-08 00:00:00,27.8,,4.65,20.62,0.68
2018-08-09 00:00:00,24.78,,4.47,16.3,0.66
2018-08-10 00:00:00,20.43,,4.57,10.42,0.69
2018-08-11 00:00:00,17.24,,4.76,10.67,0.69
2018-08-12 00:00:00,9.63,,4.38,8.75,0.64
2018-08-13 00:00:00,11.71,,4.38,9.06,0.67
2018-08-14 00:00:00,13.27,,4.53,9.49,0.77
2018-08-15 00:00:00,21.37,,4.34,8.52,0.76
2018-08-16 00:00:00,13.06,,3.53,7.17,0.7
2018-08-17 00:00:00,18.03,,2.72,5.13,0.75
2018-08-18 00:00:00,30.14,,5.87,18.6,0.73
2018-08-19 00:00:00,23.34,,11.56,27.82,0.68
2018-08-20 00:00:00,24.54,,5.35,16.64,0.71
2018-08-21 00:00:00,28.55,,5.29,12.0,0.7
2018-08-22 00:00:00,29.36,,5.62,9.89,0.76
2018-08-23 00:00:00,23.33,,4.41,10.27,0.78
2018-08-24 00:00:00,18.24,,6.33,14.04,0.77
2018-08-25 00:00:00,32.89,,9.01,16.25,0.78
2018-08-26 00:00:00,16.74,,6.27,13.46,0.74
2018-08-27 00:00:00,25.4,,6.63,14.44,0.8
2018-08-28 00:00:00,39.42,,6.27,13.92,0.79
2018-08-29 00:00:00,29.14,,6.5,14.22,0.87
2018-08-30 00:00:00,43.92,,4.34,9.97,0.81
2018-08-31 00:00:00,39.53,,2.9,6.75,0.77
2018-09-01 00:00:00,30.63,,3.03,9.26,0.76
2018-09-02 00:00:00,29.0,,3.17,13.02,0.7
2018-09-03 00:00:00,42.26,,3.23,15.34,0.82
2018-09-04 00:00:00,36.09,,3.3,16.63,0.9
2018-09-05 00:00:00,29.86,,2.86,14.09,0.9
2018-09-06 00:00:00,30.81,,2.76,13.97,0.91
2018-09-07 00:00:00,26.56,,2.9,13.96,0.87
2018-09-08 00:00:00,30.27,,2.95,14.06,0.91
2018-09-09 00:00:00,30.4,,2.7,14.05,0.92
2018-09-10 00:00:00,35.16,,2.74,14.9,1.04
2018-09-11 00:00:00,35.31,,3.38,15.77,1.13
2018-09-12 00:00:00,28.11,,3.05,16.27,1.07
2018-09-13 00:00:00,31.59,,2.94,15.07,1.02
2018-09-14 00:00:00,37.56,,2.89,16.34,1.07
2018-09-15 00:00:00,29.23,,3.19,15.63,1.08
2018-09-16 00:00:00,30.82,,7.99,19.59,0.88
2018-09-17 00:00:00,23.46,,3.09,13.79,0.48
2018-09-18 00:00:00,26.24,,2.73,13.29,0.38
2018-09-19 00:00:00,28.7,,3.01,14.78,0.43
2018-09-20 00:00:00,30.33,,2.94,15.15,0.42
2018-09-21 00:00:00,32.75,,2.74,14.92,0.38
2018-09-22 00:00:00,34.36,,3.03,15.71,0.41
2018-09-23 00:00:00,39.72,,2.71,16.48,0.38
2018-09-24 00:00:00,29.92,,3.84,14.9,0.45
2018-09-25 00:00:00,36.83,,6.63,19.23,0.4
2018-09-26 00:00:00,33.34,,3.12,16.45,0.4
2018-09-27 00:00:00,38.69,,3.78,16.63,0.39
2018-09-28 00:00:00,40.61,,5.5,17.17,0.34
2018-09-29 00:00:00,29.39,,3.89,15.95,0.32
2018-09-30 00:00:00,32.42,,3.7,15.54,0.36
2018-10-01 00:00:00,32.74,,3.61,16.43,0.43
2018-10-02 00:00:00,22.45,,3.11,14.87,0.3
2018-10-03 00:00:00,24.07,,3.23,15.1,0.33
2018-10-04 00:00:00,26.28,,3.67,15.23,0.32
2018-10-05 00:00:00,22.37,,3.42,14.55,0.33
2018-10-06 00:00:00,24.4,,3.84,16.48,0.39
2018-10-07 00:00:00,25.23,,3.2,16.2,0.35
2018-10-08 00:00:00,40.94,,4.84,18.23,0.32
2018-10-09 00:00:00,39.97,,3.71,20.11,0.3
2018-10-10 00:00:00,55.85,,4.09,21.99,0.32
2018-10-11 00:00:00,58.7,,4.05,24.14,0.34
2018-10-12 00:00:00,67.08,,5.19,26.14,0.4
2018-10-13 00:00:00,66.89,,5.52,24.98,0.29
2018-10-14 00:00:00,53.79,,3.06,16.96,0.4
2018-10-15 00:00:00,47.79,,3.18,18.7,0.32
2018-10-16 00:00:00,44.45,,2.91,16.78,0.35
2018-10-17 00:00:00,32.41,,2.67,14.82,0.41
2018-10-18 00:00:00,285.99,,2.85,15.68,0.33
2018-10-19 00:00:00,24.96,,3.46,14.47,0.31
2018-10-20 00:00:00,30.67,,2.85,15.35,0.31
2018-10-21 00:00:00,43.19,,5.59,16.78,0.31
2018-10-22 00:00:00,43.11,,4.61,22.41,0.31
2018-10-23 00:00:00,49.13,,7.74,26.65,0.36
2018-10-24 00:00:00,45.42,,9.01,27.56,0.33
2018-10-25 00:00:00,41.56,,4.9,28.26,0.64
2018-10-26 00:00:00,56.04,,9.83,43.72,0.79
2018-10-27 00:00:00,30.13,,9.93,49.02,0.78
2018-10-28 00:00:00,33.17,,6.05,61.38,0.42
2018-10-29 00:00:00,33.41,,5.91,68.31,0.58
2018-10-30 00:00:00,35.24,,5.63,55.11,0.72
2018-10-31 00:00:00,34.34,,5.42,33.93,0.73
2018-11-01 00:00:00,16.98,,4.7,29.48,0.57
2018-11-02 00:00:00,13.81,,5.0,22.92,0.71
2018-11-03 00:00:00,20.67,,4.72,19.55,0.7
2018-11-04 00:00:00,16.84,,3.96,22.75,0.69
2018-11-05 00:00:00,22.83,,4.1,28.79,0.71
2018-11-06 00:00:00,31.12,,4.17,33.74,0.68
2018-11-07 00:00:00,37.25,,3.78,37.27,0.62
2018-11-08 00:00:00,43.43,,3.86,36.1,0.72
2018-11-09 00:00:00,24.91,,3.89,37.93,0.66
2018-11-10 00:00:00,36.8,,4.59,45.99,0.73
2018-11-11 00:00:00,36.92,,3.84,43.98,0.68
2018-11-12 00:00:00,39.44,,5.27,49.46,0.78
2018-11-13 00:00:00,45.91,,4.93,51.38,0.82
2018-11-14 00:00:00,46.63,,6.11,57.54,0.92
2018-11-15 00:00:00,36.75,,4.96,50.29,0.84
2018-11-16 00:00:00,20.78,,3.55,32.69,0.73
2018-11-17 00:00:00,39.68,,3.29,32.7,0.79
2018-11-18 00:00:00,33.92,,2.77,27.43,0.74
2018-11-19 00:00:00,18.31,,3.67,30.3,0.7
2018-11-20 00:00:00,21.62,,4.05,38.55,0.62
2018-11-21 00:00:00,29.26,,5.71,38.54,0.78
2018-11-22 00:00:00,16.4,,3.81,31.38,0.7
2018-11-23 00:00:00,41.88,,5.68,34.66,0.94
2018-11-24 00:00:00,240.09,,3.95,36.18,0.86
2018-11-25 00:00:00,48.66,,3.97,39.24,0.78
2018-11-26 00:00:00,55.75,,13.42,41.38,0.77
2018-11-27 00:00:00,41.5,,88.72,97.51,0.72
2018-11-28 00:00:00,36.49,,6.76,36.25,0.78
2018-11-29 00:00:00,31.53,,6.22,35.99,0.76
2018-11-30 00:00:00,35.86,,4.95,34.74,0.72
2018-12-01 00:00:00,34.67,,4.89,37.76,0.72
2018-12-02 00:00:00,22.36,,4.67,35.77,0.65
2018-12-03 00:00:00,22.8,,4.63,33.31,0.72
2018-12-04 00:00:00,24.75,,5.09,33.79,0.73
2018-12-05 00:00:00,195.21,,5.47,34.92,0.84
2018-12-06 00:00:00,23.9,,4.93,33.63,0.8
2018-12-07 00:00:00,30.92,,4.84,34.31,0.76
2018-12-08 00:00:00,48.93,,4.6,45.92,0.79
2018-12-09 00:00:00,45.05,,,,0.74
2018-12-10 00:00:00,60.03,,9.08,47.97,1.02
2018-12-11 00:00:00,76.03,,7.1,36.61,1.01
2018-12-12 00:00:00,65.58,,6.59,37.08,1.03
2018-12-13 00:00:00,53.33,,6.32,31.17,0.88
2018-12-14 00:00:00,41.82,,6.74,33.15,0.76
2018-12-15 00:00:00,38.76,,6.43,35.28,0.68
2018-12-16 00:00:00,48.89,,6.42,31.07,0.68
2018-12-17 00:00:00,69.41,,7.14,37.03,0.87
2018-12-18 00:00:00,57.92,,6.77,41.18,0.86
2018-12-19 00:00:00,44.7,,6.5,35.34,0.87
2018-12-20 00:00:00,37.36,,6.4,33.05,0.8
2018-12-21 00:00:00,42.2,,6.81,33.37,0.82
2018-12-22 00:00:00,38.25,,6.3,34.59,0.75
2018-12-23 00:00:00,29.86,,5.7,26.24,0.65
2018-12-24 00:00:00,34.74,,6.12,26.71,0.76
2018-12-25 00:00:00,44.16,,7.07,28.0,0.75
2018-12-26 00:00:00,39.73,,6.91,30.15,0.75
2018-12-27 00:00:00,45.63,,5.87,26.14,0.68
2018-12-28 00:00:00,54.63,,6.84,28.85,0.83
2018-12-29 00:00:00,54.19,,6.76,27.64,0.74
2018-12-30 00:00:00,49.85,,6.29,26.59,0.65
2018-12-31 00:00:00,52.03,,7.13,34.3,0.77
2019-01-01 00:00:00,62.22,,7.28,38.6,0.75
2019-01-02 00:00:00,53.86,,8.95,52.72,0.73
2019-01-03 00:00:00,52.26,,12.49,94.09,0.85
2019-01-04 00:00:00,46.98,,9.54,69.26,1.06
2019-01-05 00:00:00,34.24,,13.44,33.08,1.03
2019-01-06 00:00:00,49.19,,6.46,36.0,0.97
2019-01-07 00:00:00,50.9,,7.45,55.22,0.96
2019-01-08 00:00:00,60.38,,6.87,61.18,0.82
2019-01-09 00:00:00,50.85,,7.1,67.06,0.84
2019-01-10 00:00:00,67.82,,7.37,69.47,0.95
2019-01-11 00:00:00,67.05,,7.58,74.25,0.92
2019-01-12 00:00:00,70.59,,7.29,72.49,0.84
2019-01-13 00:00:00,52.75,,6.95,73.06,0.84
2019-01-14 00:00:00,62.27,,7.69,75.66,0.88
2019-01-15 00:00:00,52.44,,6.77,71.58,0.63
2019-01-16 00:00:00,66.23,,7.37,76.56,0.88
2019-01-17 00:00:00,58.48,,9.02,60.85,0.7
2019-01-18 00:00:00,50.45,,4.32,25.81,1.03
2019-01-19 00:00:00,44.97,,4.85,26.88,0.76
2019-01-20 00:00:00,28.97,,3.96,21.92,0.74
2019-01-21 00:00:00,37.07,,4.23,26.7,0.93
2019-01-22 00:00:00,50.4,,5.25,26.91,1.1
2019-01-23 00:00:00,43.08,,4.72,25.98,1.05
2019-01-24 00:00:00,34.95,,4.36,22.15,0.86
2019-01-25 00:00:00,26.33,,4.2,20.17,0.94
2019-01-26 00:00:00,31.83,,4.16,19.44,0.93
2019-01-27 00:00:00,27.62,,4.11,17.29,0.86
2019-01-28 00:00:00,26.2,,4.13,16.81,0.79
2019-01-29 00:00:00,23.4,,4.24,18.24,0.81
2019-01-30 00:00:00,31.67,,4.2,17.95,0.8
2019-01-31 00:00:00,29.17,,4.09,20.7,1.03
2019-02-01 00:00:00,39.8,,4.28,22.42,0.93
2019-02-02 00:00:00,36.06,,3.96,21.55,0.87
2019-02-03 00:00:00,26.84,,3.81,19.98,0.79
2019-02-04 00:00:00,32.01,,3.93,19.84,0.69
2019-02-05 00:00:00,32.68,,3.74,19.12,0.87
2019-02-06 00:00:00,39.03,,3.76,21.26,0.86
2019-02-07 00:00:00,43.8,,3.84,23.09,0.91
2019-02-08 00:00:00,40.2,,3.79,21.05,0.86
2019-02-09 00:00:00,48.31,,3.96,22.73,0.9
2019-02-10 00:00:00,34.23,,3.67,18.43,0.78
2019-02-11 00:00:00,30.52,,3.67,17.94,0.69
2019-02-12 00:00:00,36.29,,3.74,20.56,0.75
2019-02-13 00:00:00,37.76,,3.78,21.85,0.76
2019-02-14 00:00:00,35.33,,3.6,22.19,0.81
2019-02-15 00:00:00,41.87,,3.61,20.43,0.8
2019-02-16 00:00:00,45.13,,3.79,20.25,0.74
2019-02-17 00:00:00,38.8,,3.69,20.09,0.81
2019-02-18 00:00:00,48.17,,4.45,24.53,0.8
2019-02-19 00:00:00,50.22,,3.64,21.06,0.81
2019-02-20 00:00:00,41.55,,3.63,19.06,0.66
2019-02-21 00:00:00,36.53,,3.59,18.26,0.65
2019-02-22 00:00:00,52.97,,13.84,25.05,0.68
2019-02-23 00:00:00,54.89,,3.64,24.07,0.67
2019-02-24 00:00:00,52.09,,3.53,23.88,0.67
2019-02-25 00:00:00,53.08,,4.21,27.61,0.64
2019-02-26 00:00:00,62.06,,3.87,26.22,0.61
2019-02-27 00:00:00,61.55,,3.8,22.73,0.54
2019-02-28 00:00:00,64.18,,3.65,24.53,0.45
2019-03-01 00:00:00,72.07,,3.62,26.26,0.39
2019-03-02 00:00:00,50.58,,3.36,19.27,0.38
2019-03-03 00:00:00,40.24,,3.36,20.19,0.46
2019-03-04 00:00:00,52.97,,3.31,18.81,0.42
2019-03-05 00:00:00,62.11,,3.37,19.91,0.38
2019-03-06 00:00:00,80.71,,3.38,20.37,0.67
2019-03-07 00:00:00,91.89,,4.36,28.95,0.89
2019-03-08 00:00:00,78.76,,3.35,29.23,0.9
2019-03-09 00:00:00,67.25,,3.43,23.75,0.91
2019-03-10 00:00:00,46.13,,3.31,18.93,0.76
2019-03-11 00:00:00,47.16,,3.34,19.75,0.72
2019-03-12 00:00:00,63.17,,3.31,20.92,0.77
2019-03-13 00:00:00,66.04,,3.7,24.89,0.8
2019-03-14 00:00:00,58.25,,3.9,24.55,0.69
2019-03-15 00:00:00,59.29,,3.05,25.43,0.64
2019-03-16 00:00:00,57.57,,3.21,25.63,0.75
2019-03-17 00:00:00,63.66,,3.17,26.64,0.78
2019-03-18 00:00:00,56.26,,3.13,24.03,0.81
2019-03-19 00:00:00,54.75,,3.25,22.25,0.8
2019-03-20 00:00:00,51.56,,3.34,20.88,0.87
2019-03-21 00:00:00,60.87,,3.3,21.0,0.83
2019-03-22 00:00:00,62.23,,3.34,22.12,0.83
2019-03-23 00:00:00,66.31,,3.55,23.14,0.83
2019-03-24 00:00:00,65.53,,3.25,19.56,0.78
2019-03-25 00:00:00,69.71,,3.45,20.69,0.84
2019-03-26 00:00:00,73.32,,3.34,21.68,0.81
2019-03-27 00:00:00,97.1,,3.44,23.22,0.83
2019-03-28 00:00:00,91.97,,3.36,24.19,0.81
2019-03-29 00:00:00,72.23,,3.58,23.69,0.84
2019-03-30 00:00:00,84.92,,5.76,27.52,0.92
2019-03-31 00:00:00,62.54,,3.79,21.74,0.88
2019-04-01 00:00:00,74.6,,4.41,23.8,0.82
2019-04-02 00:00:00,71.36,,3.76,22.55,0.86
2019-04-03 00:00:00,73.91,,3.29,21.03,0.79
2019-04-04 00:00:00,151.91,,3.25,20.59,0.84
2019-04-05 00:00:00,52.62,,3.2,20.13,0.84
2019-04-06 00:00:00,56.5,,3.15,19.15,0.88
2019-04-07 00:00:00,81.06,,3.13,18.48,0.88
2019-04-08 00:00:00,101.44,,3.32,19.08,0.86
2019-04-09 00:00:00,82.23,,3.23,17.77,0.7
2019-04-10 00:00:00,68.28,,3.3,19.55,0.87
2019-04-11 00:00:00,66.15,,3.42,19.52,0.85
2019-04-12 00:00:00,61.0,,3.33,19.56,0.78
2019-04-13 00:00:00,58.69,,3.27,18.22,0.75
2019-04-14 00:00:00,55.05,,3.2,17.22,0.75
2019-04-15 00:00:00,63.69,,3.44,20.78,0.76
2019-04-16 00:00:00,56.91,,3.31,19.61,0.79
2019-04-17 00:00:00,121.51,,3.5,18.58,0.8
2019-04-18 00:00:00,53.87,,3.37,16.8,0.75
2019-04-19 00:00:00,37.42,,3.65,19.24,0.83
2019-04-20 00:00:00,30.4,,3.55,17.58,0.86
2019-04-21 00:00:00,26.14,,3.45,18.1,0.73
2019-04-22 00:00:00,38.67,,4.13,18.72,0.82
2019-04-23 00:00:00,30.51,,3.53,19.22,0.78
2019-04-24 00:00:00,41.88,,3.53,21.41,0.88
2019-04-25 00:00:00,48.53,,3.48,22.83,0.8
2019-04-26 00:00:00,49.07,,3.5,21.88,0.83
2019-04-27 00:00:00,60.22,,3.42,20.38,0.93
2019-04-28 00:00:00,52.23,,3.39,21.34,0.95
2019-04-29 00:00:00,47.32,,3.42,18.19,0.89
2019-04-30 00:00:00,57.18,,3.95,18.66,0.82
2019-05-01 00:00:00,23.04,,3.57,15.71,0.76
2019-05-02 00:00:00,42.06,,3.46,16.97,0.83
2019-05-03 00:00:00,44.58,,3.39,17.2,0.81
2019-05-04 00:00:00,51.72,,3.43,17.78,0.87
2019-05-05 00:00:00,54.54,,3.35,17.39,0.82
2019-05-06 00:00:00,47.19,,3.34,17.55,0.94
2019-05-07 00:00:00,37.65,,3.4,16.07,0.86
2019-05-08 00:00:00,,,,,
2019-05-09 00:00:00,26.39,,4.1,20.49,1.0
2019-05-10 00:00:00,41.3,,3.48,22.38,0.85
2019-05-11 00:00:00,43.64,,3.36,17.17,0.92
2019-05-12 00:00:00,28.39,,3.31,14.42,0.76
2019-05-13 00:00:00,29.27,,3.86,16.95,0.94
2019-05-14 00:00:00,33.92,,3.4,15.19,0.82
2019-05-15 00:00:00,37.08,,3.48,14.71,0.93
2019-05-16 00:00:00,35.56,,4.08,16.08,1.1
2019-05-17 00:00:00,41.66,,4.22,16.01,1.08
2019-05-18 00:00:00,58.48,,3.84,17.4,1.14
2019-05-19 00:00:00,39.67,,3.48,17.86,1.16
2019-05-20 00:00:00,49.37,,3.64,19.47,0.97
2019-05-21 00:00:00,42.0,,3.49,18.82,0.79
2019-05-22 00:00:00,39.85,,4.33,20.68,0.83
2019-05-23 00:00:00,31.81,,3.72,19.79,0.91
2019-05-24 00:00:00,29.01,,3.87,19.32,0.91
2019-05-25 00:00:00,26.23,,3.54,18.22,0.85
2019-05-26 00:00:00,25.57,,3.31,18.3,0.75
2019-05-27 00:00:00,27.17,,3.91,21.3,0.86
2019-05-28 00:00:00,34.96,,3.69,19.45,0.97
2019-05-29 00:00:00,24.18,,3.46,20.66,0.79
2019-05-30 00:00:00,30.61,,3.43,19.42,0.88
2019-05-31 00:00:00,32.16,,3.42,19.74,0.7
2019-06-01 00:00:00,45.95,,3.53,19.92,1.28
2019-06-02 00:00:00,86.36,,3.3,16.54,1.97
2019-06-03 00:00:00,,,3.45,18.79,0.93
2019-06-04 00:00:00,,,4.12,19.25,0.73
2019-06-05 00:00:00,,,,,
2019-06-06 00:00:00,,,3.55,20.82,1.27
2019-06-07 00:00:00,18.59,,3.68,23.0,1.0
2019-06-08 00:00:00,16.85,,3.79,22.8,0.89
2019-06-09 00:00:00,14.89,,3.57,20.9,0.83
2019-06-10 00:00:00,12.17,,3.48,21.66,0.83
